numbers,Fe-Fe bond,Fe-C bond,1-fold,2-fold,3-fold,4-fold,5-fold,location,ads,ads(mass),Eb(eV)
9,2.458080926,2.299328176,4,2,3,0,0,0,8,16,-3.186521727
10,2.452872591,2.288217687,4,2,4,0,0,0,8,16,-3.241547645
11,2.465517825,2.256729149,3,2,6,0,0,0,8,16,-3.306828242
12,2.470826129,2.256433336,3,3,6,0,0,0,8,16,-3.302514643
13,2.46624264,2.290312254,3,3,7,0,0,0,8,16,-3.390560553
14,2.472770187,2.288388009,3,3,7,1,0,0,8,16,-3.360746731
15,2.479611583,2.276353899,3,3,9,0,0,0,8,16,-3.423469104
16,2.467653826,2.282530295,3,3,10,0,0,0,8,16,-3.378500651
17,2.467496643,2.289523223,3,3,11,0,0,0,8,16,-3.343694892
18,2.481438281,2.275406029,3,4,11,0,0,0,8,16,-3.377848449
19,2.47317097,2.295527699,3,4,12,0,0,0,8,16,-3.374124974
1,2.438182582,2.268848061,0,0,1,0,0,0,8,16,-2.986222325
2,2.45097408,2.28288584,1,0,1,0,0,0,8,16,-3.17883961
3,2.454015406,2.27742585,1,0,2,0,0,0,8,16,-3.401027037
4,2.449118586,2.260637575,2,0,2,0,0,0,8,16,-3.285576558
5,2.445986622,2.283791508,2,1,2,0,0,0,8,16,-3.338315312
6,2.435082228,2.281318177,2,2,2,0,0,0,8,16,-3.372054425
7,2.437526739,2.265880843,2,2,3,0,0,0,8,16,-3.412125781
8,2.436035096,2.265995658,2,1,5,0,0,0,8,16,-3.49642755
9,2.443033308,2.292173301,1,2,6,0,0,0,8,16,-3.632266555
10,2.436284823,2.297202039,2,2,6,0,0,0,8,16,-3.558245479
11,2.444454605,2.279287352,3,2,6,0,0,0,8,16,-3.494241886
12,2.455086876,2.29117286,3,2,7,0,0,0,8,16,-3.46362913
13,2.455216277,2.297124293,3,2,8,0,0,0,8,16,-3.425618801
14,2.461179641,2.299666659,3,3,8,0,0,0,8,16,-3.355145672
15,2.456472493,2.299821228,2,4,9,0,0,0,8,16,-3.396109624
16,2.458435712,2.284968787,2,5,9,0,0,0,8,16,-3.376341413
17,2.48547765,2.323183879,2,5,10,0,0,0,8,16,-3.333492794
18,2.470887543,2.342731587,2,3,13,0,0,0,8,16,-3.326745041
